date,product_id,category,units_sold,unit_price,value,region,channel
2024-02-03,P008,Fashion,107,77.1,8249.7,Osaka,Retail
2024-02-04,P003,Fashion,88,96.15,8461.2,Hokkaido,Amazon
2024-02-05,P015,Home Appliances,65,316.89,20597.85,Fukuoka,Mercari
2024-02-06,P015,Home Appliances,79,287.92,22745.68,Hokkaido,Amazon
2024-02-06,P019,Electronics,46,585.01,26910.46,Tokyo,Amazon
2024-02-07,P014,Fashion,147,76.55,11252.85,Kyoto,Retail
2024-02-08,P009,Home Appliances,35,233.96,8188.6,Osaka,Retail
2024-02-08,P013,Electronics,75,477.58,35818.5,Osaka,Amazon
2024-02-09,P007,Electronics,50,467.89,23394.5,Osaka,Website
2024-02-09,P006,Toys,73,52.56,3836.88,Fukuoka,Amazon
2024-02-09,P003,Fashion,121,97.68,11819.28,Nagoya,Mercari
2024-02-10,P007,Electronics,67,371.96,24921.32,Hokkaido,Website
2024-02-12,P014,Fashion,134,34.9,4676.6,Hokkaido,Website
2024-02-13,P005,Beauty,176,40.15,7066.4,Fukuoka,Website
2024-02-13,P019,Electronics,32,276.03,8832.96,Kyoto,Mercari
2024-02-14,P014,Fashion,169,53.16,8984.04,Fukuoka,Amazon
2024-02-15,P015,Home Appliances,52,260.54,13548.08,Hokkaido,Mercari
2024-02-15,P014,Fashion,197,92.03,18129.91,Osaka,Mercari
2024-02-15,P009,Home Appliances,60,337.94,20276.4,Hokkaido,Mercari
2024-02-16,P013,Electronics,71,297.59,21128.89,Kyoto,Amazon
2024-02-17,P016,Beauty,113,27.53,3110.89,Tokyo,Mercari
2024-02-18,P007,Electronics,38,402.35,15289.3,Nagoya,Amazon
2024-02-20,P003,Fashion,199,59.35,11810.65,Hokkaido,Website
2024-02-20,P017,Sports,144,50.78,7312.32,Hokkaido,Website
2024-02-20,P007,Electronics,43,487.04,20942.72,Kyoto,Website
2024-02-20,P005,Beauty,160,47.77,7643.2,Osaka,Retail
2024-02-20,P014,Fashion,130,54.2,7046.0,Fukuoka,Amazon
2024-02-20,P019,Electronics,65,320.38,20824.7,Tokyo,Website
2024-02-21,P008,Fashion,69,49.22,3396.18,Kyoto,Website
2024-02-22,P004,Sports,57,143.89,8201.73,Nagoya,Amazon
2024-02-22,P008,Fashion,140,76.69,10736.6,Hokkaido,Mercari
2024-02-22,P018,Toys,63,36.59,2305.17,Tokyo,Website
2024-02-22,P004,Sports,78,121.98,9514.44,Hokkaido,Website
2024-02-22,P014,Fashion,125,52.83,6603.75,Hokkaido,Retail
2024-02-25,P003,Fashion,194,30.65,5946.1,Tokyo,Amazon
2024-02-26,P006,Toys,96,48.06,4613.76,Hokkaido,Website
2024-02-27,P009,Home Appliances,67,161.02,10788.34,Osaka,Website
2024-02-27,P012,Toys,78,45.39,3540.42,Fukuoka,Retail
2024-02-27,P008,Fashion,99,45.6,4514.4,Fukuoka,Website
2024-02-27,P018,Toys,80,40.61,3248.8,Kyoto,Mercari
2024-02-28,P008,Fashion,195,58.26,11360.7,Osaka,Amazon
2024-02-28,P016,Beauty,217,26.67,5787.39,Nagoya,Website
2024-02-29,P008,Fashion,90,55.87,5028.3,Fukuoka,Website
2024-02-29,P004,Sports,59,124.24,7330.16,Nagoya,Website
2024-02-29,P014,Fashion,135,31.74,4284.9,Fukuoka,Retail
2024-02-29,P004,Sports,68,127.84,8693.12,Osaka,Mercari
2024-03-01,P014,Fashion,77,87.56,6742.12,Fukuoka,Website
2024-03-01,P018,Toys,65,29.43,1912.95,Tokyo,Website
2024-03-03,P019,Electronics,70,476.25,33337.5,Osaka,Amazon
2024-03-03,P010,Beauty,277,26.65,7382.05,Osaka,Website
2024-03-04,P007,Electronics,53,318.5,16880.5,Osaka,Website
2024-03-04,P018,Toys,137,51.76,7091.12,Hokkaido,Retail
2024-03-05,P005,Beauty,177,44.33,7846.41,Tokyo,Retail
2024-03-07,P001,Electronics,45,448.53,20183.85,Osaka,Mercari
2024-03-07,P016,Beauty,250,28.29,7072.5,Hokkaido,Website
2024-03-08,P015,Home Appliances,73,292.46,21349.58,Nagoya,Amazon
2024-03-09,P013,Electronics,59,330.94,19525.46,Nagoya,Website
2024-03-10,P009,Home Appliances,49,207.63,10173.87,Nagoya,Amazon
2024-03-11,P013,Electronics,59,489.67,28890.53,Osaka,Amazon
2024-03-11,P008,Fashion,72,88.15,6346.8,Nagoya,Mercari
2024-03-11,P009,Home Appliances,60,370.08,22204.8,Hokkaido,Amazon
2024-03-11,P006,Toys,92,58.79,5408.68,Fukuoka,Amazon
2024-03-12,P018,Toys,107,39.99,4278.93,Tokyo,Website
2024-03-14,P018,Toys,149,36.58,5450.42,Fukuoka,Website
2024-03-16,P008,Fashion,174,49.11,8545.14,Tokyo,Mercari
2024-03-16,P001,Electronics,33,499.61,16487.13,Nagoya,Retail
2024-03-16,P011,Sports,67,68.18,4568.06,Nagoya,Website
2024-03-17,P007,Electronics,76,234.25,17803.0,Fukuoka,Mercari
2024-03-18,P008,Fashion,175,78.34,13709.5,Fukuoka,Amazon
2024-03-20,P018,Toys,119,52.11,6201.09,Fukuoka,Website
2024-03-21,P014,Fashion,168,39.5,6636.0,Osaka,Amazon
2024-03-21,P003,Fashion,60,84.69,5081.4,Tokyo,Retail
2024-03-21,P015,Home Appliances,80,326.83,26146.4,Osaka,Website
2024-03-22,P004,Sports,67,106.4,7128.8,Fukuoka,Website
2024-03-22,P019,Electronics,65,347.61,22594.65,Hokkaido,Website
2024-03-23,P010,Beauty,253,45.51,11514.03,Tokyo,Amazon
2024-03-23,P005,Beauty,292,39.14,11428.88,Fukuoka,Amazon
2024-03-24,P018,Toys,148,58.28,8625.44,Osaka,Retail
2024-03-25,P013,Electronics,56,541.38,30317.28,Hokkaido,Retail
2024-03-25,P013,Electronics,56,311.3,17432.8,Nagoya,Amazon
2024-03-25,P012,Toys,137,30.87,4229.19,Kyoto,Amazon
2024-03-25,P006,Toys,73,58.77,4290.21,Hokkaido,Amazon
2024-03-25,P017,Sports,96,88.04,8451.84,Nagoya,Mercari
2024-03-27,P014,Fashion,199,57.26,11394.74,Kyoto,Amazon
2024-03-27,P003,Fashion,68,58.05,3947.4,Hokkaido,Amazon
2024-03-28,P019,Electronics,30,352.15,10564.5,Nagoya,Website
2024-03-28,P001,Electronics,60,429.63,25777.8,Fukuoka,Mercari
2024-03-30,P013,Electronics,72,436.76,31446.72,Tokyo,Amazon
2024-03-30,P010,Beauty,196,37.27,7304.92,Fukuoka,Retail
2024-04-02,P011,Sports,77,129.61,9979.97,Nagoya,Website
2024-04-03,P008,Fashion,200,94.67,18934.0,Kyoto,Retail
2024-04-03,P016,Beauty,185,30.44,5631.4,Nagoya,Amazon
2024-04-03,P011,Sports,54,75.24,4062.96,Fukuoka,Amazon
2024-04-04,P001,Electronics,68,589.26,40069.68,Osaka,Retail
2024-04-04,P017,Sports,41,141.04,5782.64,Kyoto,Retail
2024-04-04,P004,Sports,128,94.37,12079.36,Nagoya,Amazon
2024-04-06,P001,Electronics,74,363.41,26892.34,Hokkaido,Mercari
2024-04-06,P006,Toys,171,27.76,4746.96,Fukuoka,Retail
2024-04-08,P019,Electronics,31,434.85,13480.35,Kyoto,Website
2024-04-08,P010,Beauty,291,49.92,14526.72,Tokyo,Mercari
2024-04-09,P003,Fashion,94,40.99,3853.06,Hokkaido,Amazon
2024-04-09,P017,Sports,96,104.0,9984.0,Tokyo,Amazon
2024-04-09,P018,Toys,96,29.59,2840.64,Fukuoka,Mercari
2024-04-10,P002,Home Appliances,61,207.87,12680.07,Kyoto,Mercari
2024-04-10,P018,Toys,112,25.48,2853.76,Tokyo,Retail
2024-04-10,P010,Beauty,248,45.12,11189.76,Kyoto,Mercari
2024-04-11,P016,Beauty,197,41.16,8108.52,Fukuoka,Retail
2024-04-11,P016,Beauty,109,46.17,5032.53,Hokkaido,Amazon
2024-04-14,P004,Sports,122,104.46,12744.12,Osaka,Website
2024-04-14,P005,Beauty,300,22.24,6672.0,Nagoya,Website
2024-04-14,P005,Beauty,205,27.33,5602.65,Hokkaido,Retail
2024-04-15,P004,Sports,78,96.87,7555.86,Kyoto,Mercari
2024-04-15,P009,Home Appliances,84,316.71,26603.64,Nagoya,Retail
2024-04-16,P010,Beauty,169,35.27,5960.63,Fukuoka,Mercari
2024-04-16,P008,Fashion,87,61.98,5392.26,Fukuoka,Retail
2024-04-16,P002,Home Appliances,67,181.56,12164.52,Tokyo,Mercari
2024-04-16,P019,Electronics,59,257.25,15177.75,Kyoto,Website
2024-04-18,P018,Toys,179,38.2,6837.8,Nagoya,Retail
2024-04-19,P020,Fashion,75,34.22,2566.5,Osaka,Retail
2024-04-19,P002,Home Appliances,47,340.78,16016.66,Fukuoka,Mercari
2024-04-20,P016,Beauty,294,38.76,11395.44,Tokyo,Retail
2024-04-20,P013,Electronics,51,459.93,23456.43,Kyoto,Mercari
2024-04-22,P013,Electronics,65,525.43,34152.95,Tokyo,Mercari
2024-04-22,P018,Toys,66,41.17,2717.22,Osaka,Website
2024-04-23,P008,Fashion,109,70.03,7633.27,Fukuoka,Amazon
2024-04-25,P014,Fashion,179,53.79,9628.41,Nagoya,Amazon
2024-04-27,P005,Beauty,142,22.14,3143.88,Nagoya,Website
2024-04-27,P004,Sports,55,96.14,5287.7,Kyoto,Retail
2024-04-28,P006,Toys,148,36.54,5407.92,Fukuoka,Website
2024-04-28,P005,Beauty,223,33.4,7448.2,Nagoya,Website
2024-04-29,P014,Fashion,114,81.42,9281.88,Tokyo,Amazon
2024-04-30,P009,Home Appliances,80,195.37,15629.6,Kyoto,Mercari
2024-04-30,P020,Fashion,84,65.58,5508.72,Tokyo,Website
2024-05-01,P006,Toys,76,34.29,2606.04,Kyoto,Mercari
2024-05-03,P010,Beauty,206,29.8,6138.8,Osaka,Retail
2024-05-03,P013,Electronics,64,205.57,13156.48,Tokyo,Mercari
2024-05-03,P018,Toys,87,32.25,2805.75,Osaka,Website
2024-05-03,P003,Fashion,87,52.55,4571.85,Tokyo,Retail
2024-05-04,P001,Electronics,52,252.72,13141.44,Osaka,Website
2024-05-04,P004,Sports,123,135.28,16639.44,Hokkaido,Retail
2024-05-05,P018,Toys,106,55.68,5902.08,Hokkaido,Website
2024-05-07,P015,Home Appliances,55,261.17,14364.35,Nagoya,Amazon
2024-05-08,P007,Electronics,73,448.36,32730.28,Kyoto,Retail
2024-05-09,P001,Electronics,73,426.37,31125.01,Kyoto,Amazon
2024-05-09,P020,Fashion,190,74.32,14120.8,Kyoto,Website
2024-05-12,P009,Home Appliances,72,296.14,21322.08,Tokyo,Retail
2024-05-13,P009,Home Appliances,40,197.45,7898.0,Fukuoka,Amazon
2024-05-13,P020,Fashion,166,67.14,11145.24,Hokkaido,Mercari
2024-05-15,P012,Toys,98,59.57,5837.86,Kyoto,Mercari
2024-05-15,P012,Toys,155,48.47,7512.85,Kyoto,Mercari
2024-05-16,P001,Electronics,65,447.82,29108.3,Nagoya,Retail
2024-05-16,P004,Sports,108,59.72,6449.76,Osaka,Mercari
2024-05-16,P013,Electronics,36,370.51,13338.36,Fukuoka,Mercari
2024-05-17,P004,Sports,100,124.57,12457.0,Fukuoka,Website
2024-05-17,P019,Electronics,62,243.62,15104.44,Osaka,Amazon
2024-05-19,P010,Beauty,175,49.78,8711.5,Tokyo,Mercari
2024-05-19,P005,Beauty,267,46.56,12431.52,Tokyo,Mercari
2024-05-20,P014,Fashion,121,95.73,11583.33,Tokyo,Website
2024-05-21,P004,Sports,122,140.34,17121.48,Tokyo,Website
2024-05-21,P003,Fashion,168,74.48,12512.64,Kyoto,Website
2024-05-21,P014,Fashion,61,38.17,2328.37,Tokyo,Website
2024-05-22,P012,Toys,142,44.06,6256.52,Nagoya,Amazon
2024-05-22,P007,Electronics,68,456.68,31054.24,Tokyo,Amazon
2024-05-23,P009,Home Appliances,63,264.21,16645.23,Osaka,Mercari
2024-05-24,P011,Sports,99,130.42,12911.58,Tokyo,Retail
2024-05-24,P017,Sports,122,80.16,9779.52,Tokyo,Amazon
2024-05-25,P008,Fashion,151,90.21,13621.71,Hokkaido,Website
2024-05-25,P005,Beauty,252,43.66,11002.32,Tokyo,Website
2024-05-26,P015,Home Appliances,71,158.34,11242.14,Kyoto,Retail
2024-05-26,P011,Sports,56,74.36,4164.16,Hokkaido,Retail
2024-05-27,P006,Toys,165,33.99,5608.35,Fukuoka,Website
2024-05-28,P016,Beauty,197,23.2,4570.4,Hokkaido,Website
2024-05-28,P005,Beauty,238,49.63,11811.94,Nagoya,Retail
2024-05-30,P020,Fashion,123,82.16,10105.68,Osaka,Website
2024-06-01,P007,Electronics,43,320.57,13784.51,Osaka,Website
2024-06-03,P005,Beauty,107,42.23,4518.61,Tokyo,Retail
2024-06-03,P013,Electronics,32,544.71,17430.72,Fukuoka,Amazon
2024-06-03,P017,Sports,107,113.32,12125.24,Hokkaido,Retail
2024-06-03,P003,Fashion,179,73.05,13075.95,Fukuoka,Mercari
2024-06-04,P009,Home Appliances,79,293.53,23188.87,Hokkaido,Amazon
2024-06-05,P016,Beauty,127,26.73,3394.71,Nagoya,Website
2024-06-05,P015,Home Appliances,81,167.07,13532.67,Kyoto,Website
2024-06-06,P005,Beauty,280,31.41,8794.8,Osaka,Website
2024-06-06,P020,Fashion,142,62.21,8833.82,Tokyo,Mercari
2024-06-08,P004,Sports,65,64.64,4201.6,Osaka,Retail
2024-06-09,P015,Home Appliances,87,315.48,27446.76,Hokkaido,Mercari
2024-06-10,P020,Fashion,76,51.87,3942.12,Hokkaido,Retail
2024-06-10,P011,Sports,103,62.0,6386.0,Kyoto,Mercari
2024-06-10,P015,Home Appliances,32,262.98,8415.36,Nagoya,Website
2024-06-10,P009,Home Appliances,44,330.93,14560.92,Nagoya,Amazon
2024-06-12,P005,Beauty,221,40.6,8972.6,Tokyo,Amazon
2024-06-13,P014,Fashion,90,61.76,5558.4,Nagoya,Website
2024-06-13,P010,Beauty,156,42.37,6609.72,Nagoya,Retail
2024-06-14,P009,Home Appliances,90,203.89,18350.1,Tokyo,Website
2024-06-14,P004,Sports,126,78.32,9868.32,Hokkaido,Mercari
2024-06-15,P008,Fashion,166,58.97,9789.02,Fukuoka,Mercari
2024-06-15,P003,Fashion,197,90.35,17798.95,Fukuoka,Mercari
2024-06-17,P010,Beauty,201,21.36,4293.36,Hokkaido,Amazon
2024-06-17,P005,Beauty,215,48.73,10476.95,Tokyo,Website
2024-06-19,P018,Toys,154,58.4,8993.6,Tokyo,Mercari
2024-06-19,P005,Beauty,179,47.5,8502.5,Kyoto,Mercari
2024-06-20,P009,Home Appliances,59,157.24,9277.16,Kyoto,Website
2024-06-22,P004,Sports,125,91.08,11385.0,Fukuoka,Amazon
2024-06-22,P019,Electronics,69,457.2,31546.8,Nagoya,Website
2024-06-23,P014,Fashion,153,50.27,7691.31,Tokyo,Website
2024-06-23,P003,Fashion,94,65.32,6140.08,Tokyo,Retail
2024-06-23,P015,Home Appliances,45,397.75,17898.75,Nagoya,Website
2024-06-24,P004,Sports,80,81.25,6500.0,Kyoto,Website
2024-06-24,P011,Sports,112,127.68,14300.16,Hokkaido,Amazon
2024-06-25,P003,Fashion,176,42.4,7462.4,Fukuoka,Mercari
2024-06-26,P005,Beauty,250,36.69,9172.5,Hokkaido,Website
2024-06-26,P009,Home Appliances,70,297.85,20849.5,Hokkaido,Amazon
2024-06-26,P011,Sports,52,56.59,2942.68,Hokkaido,Mercari
2024-06-27,P003,Fashion,74,36.53,2703.22,Kyoto,Website
2024-06-28,P004,Sports,115,74.33,8547.95,Fukuoka,Amazon
2024-06-29,P002,Home Appliances,31,188.89,5855.59,Kyoto,Amazon
2024-06-29,P012,Toys,164,37.29,6115.56,Kyoto,Retail
2024-06-30,P011,Sports,63,85.1,5361.3,Osaka,Mercari
2024-06-30,P019,Electronics,50,460.73,23036.5,Hokkaido,Mercari
2024-06-30,P010,Beauty,298,31.62,9422.76,Nagoya,Amazon
2024-07-02,P013,Electronics,45,400.8,18036.0,Fukuoka,Amazon
2024-07-02,P012,Toys,164,44.11,7234.04,Kyoto,Retail
2024-07-02,P007,Electronics,79,314.44,24840.76,Tokyo,Website
2024-07-03,P014,Fashion,96,72.17,6928.32,Hokkaido,Website
2024-07-04,P010,Beauty,131,27.13,3554.03,Tokyo,Retail
2024-07-05,P006,Toys,148,31.33,4636.84,Hokkaido,Retail
2024-07-06,P007,Electronics,79,336.69,26598.51,Fukuoka,Retail
2024-07-06,P003,Fashion,142,66.64,9462.88,Tokyo,Amazon
2024-07-08,P005,Beauty,175,24.65,4313.75,Tokyo,Amazon
2024-07-09,P015,Home Appliances,43,376.33,16182.19,Fukuoka,Amazon
2024-07-09,P007,Electronics,65,533.99,34709.35,Kyoto,Mercari
2024-07-09,P004,Sports,95,129.93,12343.35,Fukuoka,Mercari
2024-07-10,P016,Beauty,149,47.12,7020.88,Nagoya,Mercari
2024-07-10,P007,Electronics,42,217.52,9135.84,Tokyo,Website
2024-07-11,P004,Sports,124,58.01,7193.24,Nagoya,Website
2024-07-12,P008,Fashion,75,31.97,2397.75,Kyoto,Website
2024-07-12,P017,Sports,50,76.67,3833.5,Kyoto,Mercari
2024-07-12,P015,Home Appliances,70,160.59,11241.3,Hokkaido,Mercari
2024-07-13,P016,Beauty,199,21.31,4240.69,Nagoya,Website
2024-07-14,P020,Fashion,78,62.0,4836.0,Fukuoka,Amazon
2024-07-14,P001,Electronics,45,445.92,20066.4,Hokkaido,Mercari
2024-07-15,P020,Fashion,164,49.94,8190.16,Osaka,Retail
2024-07-15,P010,Beauty,228,43.34,9881.52,Hokkaido,Mercari
2024-07-15,P020,Fashion,92,80.24,7382.08,Kyoto,Mercari
2024-07-20,P003,Fashion,146,51.67,7543.82,Kyoto,Website
2024-07-21,P014,Fashion,54,65.59,3541.86,Nagoya,Website
2024-07-21,P017,Sports,131,107.5,14082.5,Osaka,Website
2024-07-22,P011,Sports,119,137.64,16379.16,Osaka,Mercari
2024-07-23,P017,Sports,76,135.12,10269.12,Tokyo,Retail
2024-07-24,P015,Home Appliances,71,160.92,11425.32,Kyoto,Retail
2024-07-24,P001,Electronics,34,342.84,11656.56,Nagoya,Retail
2024-07-24,P004,Sports,134,127.15,17038.1,Nagoya,Retail
2024-07-25,P016,Beauty,101,33.46,3379.46,Tokyo,Amazon
2024-07-26,P005,Beauty,173,24.13,4174.49,Fukuoka,Retail
2024-07-26,P005,Beauty,298,21.89,6523.22,Fukuoka,Amazon
2024-07-27,P005,Beauty,289,40.1,11588.9,Kyoto,Amazon
2024-07-27,P015,Home Appliances,86,395.2,33987.2,Kyoto,Retail
2024-07-28,P009,Home Appliances,86,163.04,14021.44,Nagoya,Amazon
2024-07-29,P013,Electronics,41,335.61,13760.01,Fukuoka,Mercari
2024-07-30,P010,Beauty,239,35.46,8474.94,Fukuoka,Website
2024-07-31,P006,Toys,162,53.59,8681.58,Hokkaido,Retail
2024-07-31,P008,Fashion,139,87.17,12116.63,Tokyo,Mercari
2024-08-02,P005,Beauty,299,22.02,6583.98,Kyoto,Website
2024-08-03,P013,Electronics,78,401.7,31332.6,Hokkaido,Website
2024-08-05,P003,Fashion,163,61.64,10047.32,Tokyo,Website
2024-08-05,P004,Sports,89,55.06,4900.34,Hokkaido,Mercari
2024-08-06,P011,Sports,68,143.47,9755.96,Nagoya,Website
2024-08-07,P020,Fashion,175,49.99,8748.25,Osaka,Amazon
2024-08-07,P006,Toys,125,42.44,5305.0,Fukuoka,Mercari
2024-08-08,P004,Sports,63,52.59,3313.17,Fukuoka,Mercari
2024-08-08,P016,Beauty,241,20.79,5010.39,Hokkaido,Website
2024-08-08,P006,Toys,179,53.47,9571.13,Hokkaido,Website
2024-08-10,P013,Electronics,76,599.84,45587.84,Fukuoka,Mercari
2024-08-10,P016,Beauty,267,37.93,10127.31,Kyoto,Mercari
2024-08-10,P018,Toys,73,25.29,1846.17,Fukuoka,Retail
2024-08-11,P008,Fashion,118,62.65,7392.7,Fukuoka,Retail
2024-08-12,P013,Electronics,32,579.79,18553.28,Hokkaido,Retail
2024-08-13,P002,Home Appliances,49,292.57,14335.93,Nagoya,Website
2024-08-13,P012,Toys,103,52.82,5440.46,Hokkaido,Website
2024-08-15,P018,Toys,173,29.54,5110.42,Tokyo,Amazon
2024-08-15,P003,Fashion,90,78.2,7038.0,Fukuoka,Mercari
2024-08-16,P015,Home Appliances,43,201.01,8643.43,Nagoya,Website
2024-08-17,P002,Home Appliances,44,357.85,15745.4,Nagoya,Retail
2024-08-19,P005,Beauty,201,35.88,7211.88,Nagoya,Website
2024-08-19,P019,Electronics,72,261.68,18840.96,Hokkaido,Website
2024-08-20,P001,Electronics,70,399.22,27945.4,Hokkaido,Website
2024-08-21,P002,Home Appliances,76,168.76,12825.76,Nagoya,Retail
2024-08-21,P003,Fashion,182,61.5,11193.0,Nagoya,Retail
2024-08-21,P010,Beauty,123,38.43,4726.89,Hokkaido,Retail
2024-08-21,P010,Beauty,275,34.49,9484.75,Fukuoka,Website
2024-08-22,P015,Home Appliances,72,387.21,27879.12,Fukuoka,Amazon
2024-08-22,P012,Toys,130,49.83,6477.9,Hokkaido,Website
2024-08-24,P012,Toys,76,59.14,4494.64,Nagoya,Amazon
2024-08-25,P014,Fashion,68,87.63,5958.84,Osaka,Website
2024-08-26,P012,Toys,75,42.81,3210.75,Osaka,Retail
2024-08-27,P019,Electronics,31,216.48,6710.88,Tokyo,Amazon
2024-08-27,P020,Fashion,80,77.63,6210.4,Osaka,Amazon
2024-08-28,P003,Fashion,191,47.54,9080.14,Nagoya,Retail
2024-08-29,P010,Beauty,282,45.54,12842.28,Kyoto,Retail
2024-08-29,P018,Toys,83,47.39,3933.37,Osaka,Mercari
2024-08-29,P010,Beauty,123,34.92,4295.16,Fukuoka,Mercari
2024-08-29,P009,Home Appliances,76,331.88,25222.88,Nagoya,Amazon
2024-08-30,P018,Toys,159,29.12,4630.08,Nagoya,Mercari
2024-08-31,P001,Electronics,68,257.11,17483.48,Kyoto,Mercari
2024-08-31,P019,Electronics,43,305.86,13151.98,Hokkaido,Mercari
2024-08-31,P008,Fashion,140,45.06,6308.4,Tokyo,Amazon
2024-09-01,P018,Toys,80,59.23,4738.4,Fukuoka,Mercari
2024-09-02,P005,Beauty,221,41.41,9151.61,Hokkaido,Mercari
2024-09-02,P017,Sports,69,72.57,5007.33,Tokyo,Amazon
2024-09-03,P013,Electronics,41,467.7,19175.7,Osaka,Mercari
2024-09-04,P019,Electronics,54,470.65,25415.1,Fukuoka,Website
2024-09-05,P020,Fashion,85,92.52,7864.2,Nagoya,Website
2024-09-05,P008,Fashion,78,32.21,2512.38,Osaka,Amazon
2024-09-05,P004,Sports,115,111.57,12830.55,Osaka,Retail
2024-09-06,P013,Electronics,77,596.25,45911.25,Nagoya,Website
2024-09-06,P020,Fashion,153,89.93,13759.29,Fukuoka,Website
2024-09-07,P020,Fashion,178,65.64,11683.92,Tokyo,Amazon
2024-09-08,P010,Beauty,280,43.14,12079.2,Osaka,Mercari
2024-09-09,P012,Toys,67,49.25,3299.75,Kyoto,Amazon
2024-09-11,P016,Beauty,284,30.46,8650.64,Nagoya,Website
2024-09-11,P008,Fashion,148,30.48,4511.04,Osaka,Mercari
2024-09-12,P015,Home Appliances,86,313.99,27003.14,Osaka,Retail
2024-09-14,P017,Sports,100,127.5,12750.0,Kyoto,Amazon
2024-09-14,P011,Sports,52,121.74,6330.48,Kyoto,Retail
2024-09-15,P011,Sports,92,91.88,8452.96,Kyoto,Retail
2024-09-15,P010,Beauty,275,24.79,6817.25,Hokkaido,Website
2024-09-16,P001,Electronics,73,347.34,25355.82,Tokyo,Mercari
2024-09-16,P007,Electronics,48,502.36,24113.28,Nagoya,Website
2024-09-17,P017,Sports,130,103.23,13419.9,Hokkaido,Website
