transaction_id,transaction_date,store_id,customer_id,product_id,quantity,sales_amount,customer_nationality
T000033,2024-01-02 08:00:00,NAGOYA_01,C3606,P004,3,5719.62,JP
T000034,2024-01-02 09:00:00,TOKYO_02,C8846,P005,1,732.53,JP
T000035,2024-01-02 10:00:00,TOKYO_02,C9643,P003,3,8655.51,JP
T000036,2024-01-02 11:00:00,TOKYO_01,C7432,P005,3,2294.53,IN
T000037,2024-01-02 12:00:00,NAGOYA_01,C4765,P002,4,1660.6,JP
T000038,2024-01-02 13:00:00,TOKYO_01,C3438,P001,2,11454.74,UK
T000039,2024-01-02 14:00:00,TOKYO_01,C7358,P002,1,637.84,UK
T000040,2024-01-02 15:00:00,OSAKA_01,C9319,P005,1,14405.62,UK
T000041,2024-01-02 16:00:00,OSAKA_01,C6941,P005,1,7971.2,US
T000042,2024-01-02 17:00:00,OSAKA_01,C8644,P005,1,14753.74,JP
T000043,2024-01-02 18:00:00,TOKYO_02,C5855,P005,2,1340.96,JP
T000044,2024-01-02 19:00:00,NAGOYA_01,C7547,P004,1,8961.18,JP
T000045,2024-01-02 20:00:00,NAGOYA_01,C8196,P001,4,5565.24,KR
T000046,2024-01-02 21:00:00,NAGOYA_01,C6911,P004,4,12730.5,JP
T000047,2024-01-02 22:00:00,NAGOYA_01,C7481,P005,1,5737.73,AU
T000048,2024-01-02 23:00:00,OSAKA_01,C3761,P003,1,4277.07,IN
T000049,2024-01-03 00:00:00,TOKYO_02,C5456,P004,2,12934.52,UK
T000050,2024-01-03 01:00:00,TOKYO_02,C7361,P005,2,5932.47,IN
T000051,2024-01-03 02:00:00,OSAKA_01,C6693,P005,1,744.08,US
T000052,2024-01-03 03:00:00,TOKYO_02,C6788,P001,2,6159.19,JP
T000053,2024-01-03 04:00:00,OSAKA_01,C1201,P002,3,9990.57,AU
T000054,2024-01-03 05:00:00,NAGOYA_01,C7160,P004,1,4188.21,JP
T000055,2024-01-03 06:00:00,OSAKA_01,C1517,P004,2,6763.82,UK
T000056,2024-01-03 07:00:00,NAGOYA_01,C8737,P004,4,1322.37,JP
T000057,2024-01-03 08:00:00,NAGOYA_01,C2988,P005,1,9027.35,JP
T000058,2024-01-03 09:00:00,TOKYO_01,C4802,P001,1,11466.28,UK
T000059,2024-01-03 10:00:00,OSAKA_01,C6808,P005,4,6493.03,JP
T000060,2024-01-03 11:00:00,TOKYO_01,C8162,P005,4,6593.37,UK
T000061,2024-01-03 12:00:00,OSAKA_01,C7241,P003,2,1780.1,UK
T000062,2024-01-03 13:00:00,OSAKA_01,C9399,P001,4,3428.14,IN
T000063,2024-01-03 14:00:00,TOKYO_01,C6633,P004,3,2742.79,JP
T000064,2024-01-03 15:00:00,TOKYO_01,C6755,P002,1,7484.47,JP
T000065,2024-01-03 16:00:00,OSAKA_01,C7309,P004,3,8174.21,UK
T000066,2024-01-03 17:00:00,TOKYO_02,C5117,P005,2,14259.63,UK
T000067,2024-01-03 18:00:00,NAGOYA_01,C9345,P001,4,1561.86,JP
T000068,2024-01-03 19:00:00,TOKYO_01,C2518,P001,1,9198.09,JP
T000069,2024-01-03 20:00:00,NAGOYA_01,C7163,P001,4,8134.23,JP
T000070,2024-01-03 21:00:00,TOKYO_02,C3600,P003,4,7985.38,KR
T000071,2024-01-03 22:00:00,TOKYO_02,C3195,P004,2,13160.81,JP
T000072,2024-01-03 23:00:00,TOKYO_02,C4554,P003,2,3480.31,JP
T000073,2024-01-04 00:00:00,TOKYO_01,C3849,P002,2,1091.21,US
T000074,2024-01-04 01:00:00,TOKYO_02,C2742,P005,2,10247.94,JP
T000075,2024-01-04 02:00:00,TOKYO_01,C2306,P003,1,5504.78,UK
T000076,2024-01-04 03:00:00,TOKYO_02,C4849,P003,3,755.05,JP
T000077,2024-01-04 04:00:00,NAGOYA_01,C8519,P005,3,4144.92,JP
T000078,2024-01-04 05:00:00,NAGOYA_01,C5195,P001,1,4985.24,JP
T000079,2024-01-04 06:00:00,OSAKA_01,C6178,P005,4,9444.16,JP
T000080,2024-01-04 07:00:00,NAGOYA_01,C3555,P004,1,3002.49,JP
T000081,2024-01-04 08:00:00,OSAKA_01,C3305,P005,3,6489.29,JP
T000082,2024-01-04 09:00:00,NAGOYA_01,C8619,P001,3,7495.89,JP
T000083,2024-01-04 10:00:00,TOKYO_01,C3642,P005,1,7158.94,UK
T000084,2024-01-04 11:00:00,NAGOYA_01,C7409,P003,2,14622.14,JP
T000085,2024-01-04 12:00:00,OSAKA_01,C5757,P002,4,1159.81,KR
T000086,2024-01-04 13:00:00,OSAKA_01,C3994,P003,1,14289.04,AU
T000087,2024-01-04 14:00:00,TOKYO_02,C9751,P002,3,8938.09,JP
T000088,2024-01-04 15:00:00,TOKYO_01,C2271,P005,2,12038.05,JP
T000089,2024-01-04 16:00:00,NAGOYA_01,C2813,P004,4,6740.69,JP
T000090,2024-01-04 17:00:00,TOKYO_02,C9801,P005,3,7080.65,JP
T000091,2024-01-04 18:00:00,NAGOYA_01,C3461,P001,4,13250.23,JP
T000092,2024-01-04 19:00:00,NAGOYA_01,C5120,P005,2,13491.05,JP
T000093,2024-01-04 20:00:00,TOKYO_02,C7124,P002,3,3960.99,US
T000094,2024-01-04 21:00:00,TOKYO_02,C9475,P003,2,3389.01,AU
T000095,2024-01-04 22:00:00,TOKYO_02,C5396,P004,1,7695.41,JP
T000096,2024-01-04 23:00:00,TOKYO_02,C1816,P005,1,13554.02,JP
T000097,2024-01-05 00:00:00,TOKYO_02,C8304,P005,4,5174.15,IN
T000098,2024-01-05 01:00:00,NAGOYA_01,C8331,P003,2,9954.21,JP
T000099,2024-01-05 02:00:00,TOKYO_02,C1082,P004,2,10768.2,UK
T000100,2024-01-05 03:00:00,TOKYO_01,C2920,P005,4,11790.78,AU
T000101,2024-01-05 04:00:00,OSAKA_01,C8817,P005,4,8676.9,KR
T000102,2024-01-05 05:00:00,TOKYO_02,C3093,P002,4,6335.6,JP
T000103,2024-01-05 06:00:00,TOKYO_02,C8071,P002,1,14521.73,KR
T000104,2024-01-05 07:00:00,NAGOYA_01,C8967,P001,4,9364.3,AU
T000105,2024-01-05 08:00:00,TOKYO_02,C9367,P003,1,11064.2,AU
T000106,2024-01-05 09:00:00,TOKYO_02,C6285,P004,4,5502.25,JP
T000107,2024-01-05 10:00:00,TOKYO_02,C5937,P005,2,10214.26,JP
T000108,2024-01-05 11:00:00,NAGOYA_01,C1369,P005,2,4238.07,UK
T000109,2024-01-05 12:00:00,TOKYO_02,C2818,P001,4,4053.91,AU
T000110,2024-01-05 13:00:00,OSAKA_01,C3101,P005,4,10863.47,JP
T000111,2024-01-05 14:00:00,NAGOYA_01,C4490,P003,1,8060.22,JP
T000112,2024-01-05 15:00:00,OSAKA_01,C2779,P001,3,10407.51,JP
T000113,2024-01-05 16:00:00,NAGOYA_01,C8674,P003,1,4406.86,AU
T000114,2024-01-05 17:00:00,TOKYO_02,C2364,P001,2,9181.49,AU
T000115,2024-01-05 18:00:00,OSAKA_01,C8294,P005,4,6937.04,JP
T000116,2024-01-05 19:00:00,NAGOYA_01,C4676,P001,2,9155.92,JP
T000117,2024-01-05 20:00:00,TOKYO_01,C3426,P002,3,4717.76,JP
T000118,2024-01-05 21:00:00,TOKYO_02,C9264,P004,1,10874.04,JP
T000119,2024-01-05 22:00:00,NAGOYA_01,C9089,P005,2,12185.98,JP
T000120,2024-01-05 23:00:00,TOKYO_01,C3962,P004,1,4268.79,JP
T000121,2024-01-06 00:00:00,NAGOYA_01,C1859,P005,4,4859.0,JP
T000122,2024-01-06 01:00:00,TOKYO_01,C5138,P004,2,10086.74,UK
T000123,2024-01-06 02:00:00,TOKYO_02,C3424,P002,3,10585.99,US
T000124,2024-01-06 03:00:00,OSAKA_01,C5017,P004,1,10709.45,KR
T000125,2024-01-06 04:00:00,TOKYO_01,C9560,P001,1,10399.13,JP
T000126,2024-01-06 05:00:00,NAGOYA_01,C9342,P004,3,6195.71,UK
T000127,2024-01-06 06:00:00,TOKYO_02,C2134,P005,2,6225.38,AU
T000128,2024-01-06 07:00:00,TOKYO_01,C6166,P003,2,4194.86,JP
T000129,2024-01-06 08:00:00,NAGOYA_01,C6119,P004,1,2774.09,JP
T000130,2024-01-06 09:00:00,NAGOYA_01,C6694,P004,3,10542.37,US
T000131,2024-01-06 10:00:00,NAGOYA_01,C7136,P004,1,1851.24,UK
T000132,2024-01-06 11:00:00,TOKYO_01,C6485,P005,1,14097.99,JP
T000133,2024-01-06 12:00:00,TOKYO_01,C5164,P004,4,12486.95,JP
T000134,2024-01-06 13:00:00,TOKYO_01,C3346,P005,2,12933.83,US
T000135,2024-01-06 14:00:00,OSAKA_01,C6039,P005,2,13646.7,KR
T000136,2024-01-06 15:00:00,TOKYO_01,C5897,P003,4,6424.77,US
T000137,2024-01-06 16:00:00,TOKYO_01,C9252,P001,2,12777.16,JP
T000138,2024-01-06 17:00:00,TOKYO_01,C6041,P005,2,2791.89,JP
T000139,2024-01-06 18:00:00,OSAKA_01,C4901,P002,2,813.81,JP
T000140,2024-01-06 19:00:00,TOKYO_01,C2337,P004,3,11880.93,UK
T000141,2024-01-06 20:00:00,NAGOYA_01,C2184,P002,4,1584.55,IN
T000142,2024-01-06 21:00:00,TOKYO_01,C5426,P004,1,14833.61,AU
T000143,2024-01-06 22:00:00,NAGOYA_01,C2551,P003,3,10284.55,JP
T000144,2024-01-06 23:00:00,NAGOYA_01,C2629,P005,1,11425.02,UK
T000145,2024-01-07 00:00:00,NAGOYA_01,C2526,P001,4,4064.16,US
T000146,2024-01-07 01:00:00,OSAKA_01,C2361,P005,4,10271.05,KR
T000147,2024-01-07 02:00:00,OSAKA_01,C5370,P004,4,1126.69,AU
T000148,2024-01-07 03:00:00,OSAKA_01,C6283,P001,2,12648.47,IN
T000149,2024-01-07 04:00:00,TOKYO_01,C8610,P005,3,2959.55,IN
T000150,2024-01-07 05:00:00,NAGOYA_01,C2993,P001,4,10611.69,JP
T000151,2024-01-07 06:00:00,OSAKA_01,C1869,P004,1,3754.97,KR
T000152,2024-01-07 07:00:00,OSAKA_01,C2014,P003,2,1492.57,JP
T000153,2024-01-07 08:00:00,TOKYO_01,C1602,P003,2,7481.66,IN
T000154,2024-01-07 09:00:00,OSAKA_01,C1690,P005,3,2954.65,KR
T000155,2024-01-07 10:00:00,TOKYO_01,C9685,P002,3,11076.94,JP
T000156,2024-01-07 11:00:00,TOKYO_02,C1489,P004,3,3944.7,AU
T000157,2024-01-07 12:00:00,OSAKA_01,C7864,P005,2,5465.85,AU
T000158,2024-01-07 13:00:00,TOKYO_02,C8240,P005,4,8727.87,IN
T000159,2024-01-07 14:00:00,TOKYO_01,C8786,P003,1,4632.04,UK
T000160,2024-01-07 15:00:00,NAGOYA_01,C9024,P001,4,5980.83,AU
T000161,2024-01-07 16:00:00,OSAKA_01,C1294,P004,1,12326.52,IN
T000162,2024-01-07 17:00:00,TOKYO_01,C6488,P001,4,3098.54,JP
T000163,2024-01-07 18:00:00,NAGOYA_01,C5027,P004,3,1691.92,JP
T000164,2024-01-07 19:00:00,NAGOYA_01,C3912,P002,1,5261.19,JP
T000165,2024-01-07 20:00:00,TOKYO_02,C5744,P003,2,6653.46,US
T000166,2024-01-07 21:00:00,TOKYO_01,C2873,P002,1,8368.56,JP
T000167,2024-01-07 22:00:00,NAGOYA_01,C4258,P005,2,5900.14,US
T000168,2024-01-07 23:00:00,OSAKA_01,C3817,P003,4,11953.72,JP
T000169,2024-01-08 00:00:00,OSAKA_01,C9636,P005,3,1070.13,IN
T000170,2024-01-08 01:00:00,TOKYO_02,C4641,P002,1,6760.63,JP
T000171,2024-01-08 02:00:00,NAGOYA_01,C5458,P004,2,6042.71,US
T000172,2024-01-08 03:00:00,TOKYO_01,C6307,P005,4,9889.89,AU
T000173,2024-01-08 04:00:00,OSAKA_01,C9933,P001,3,14511.01,UK
T000174,2024-01-08 05:00:00,NAGOYA_01,C3041,P004,3,7900.44,US
T000175,2024-01-08 06:00:00,NAGOYA_01,C1679,P004,3,14809.71,IN
T000176,2024-01-08 07:00:00,TOKYO_02,C6738,P002,4,4882.62,UK
T000177,2024-01-08 08:00:00,OSAKA_01,C6668,P002,4,947.59,US
T000178,2024-01-08 09:00:00,OSAKA_01,C8697,P003,4,2902.12,JP
T000179,2024-01-08 10:00:00,TOKYO_01,C9033,P003,3,6229.31,UK
T000180,2024-01-08 11:00:00,OSAKA_01,C1062,P001,1,5086.84,US
T000181,2024-01-08 12:00:00,TOKYO_01,C8829,P004,2,1907.28,JP
T000182,2024-01-08 13:00:00,OSAKA_01,C8352,P001,4,6773.57,US
T000183,2024-01-08 14:00:00,TOKYO_02,C7915,P001,1,5402.68,UK
T000184,2024-01-08 15:00:00,OSAKA_01,C9326,P002,2,2277.98,KR
T000185,2024-01-08 16:00:00,TOKYO_01,C4644,P001,3,4793.7,KR
T000186,2024-01-08 17:00:00,TOKYO_01,C5970,P001,1,13353.32,JP
T000187,2024-01-08 18:00:00,TOKYO_02,C9003,P005,3,4879.71,JP
T000188,2024-01-08 19:00:00,OSAKA_01,C4278,P003,2,10852.35,JP
T000189,2024-01-08 20:00:00,OSAKA_01,C8296,P003,4,9374.68,JP
T000190,2024-01-08 21:00:00,TOKYO_02,C4074,P004,3,6694.13,UK
T000191,2024-01-08 22:00:00,OSAKA_01,C9312,P003,1,3965.87,JP
T000192,2024-01-08 23:00:00,OSAKA_01,C8552,P004,4,5850.71,AU
T000193,2024-01-09 00:00:00,TOKYO_01,C2637,P005,1,9085.55,US
T000194,2024-01-09 01:00:00,OSAKA_01,C6103,P003,2,5585.92,IN
T000195,2024-01-09 02:00:00,OSAKA_01,C1644,P005,2,3616.0,JP
T000196,2024-01-09 03:00:00,TOKYO_02,C3032,P003,4,2188.71,JP
T000197,2024-01-09 04:00:00,TOKYO_02,C3761,P003,1,13256.62,JP
T000198,2024-01-09 05:00:00,NAGOYA_01,C3068,P005,1,6884.54,JP
T000199,2024-01-09 06:00:00,TOKYO_01,C1241,P001,1,9565.52,KR
T000200,2024-01-09 07:00:00,OSAKA_01,C3668,P001,1,7610.95,IN
T000201,2024-01-09 08:00:00,OSAKA_01,C1802,P001,2,13152.21,JP
T000202,2024-01-09 09:00:00,NAGOYA_01,C6059,P001,1,8430.56,UK
T000203,2024-01-09 10:00:00,OSAKA_01,C1195,P003,2,7471.33,JP
T000204,2024-01-09 11:00:00,TOKYO_01,C3187,P002,1,13906.71,IN
T000205,2024-01-09 12:00:00,NAGOYA_01,C3330,P005,1,10935.5,JP
T000206,2024-01-09 13:00:00,TOKYO_01,C5841,P002,3,2117.47,IN
T000207,2024-01-09 14:00:00,NAGOYA_01,C4606,P002,3,3076.71,JP
T000208,2024-01-09 15:00:00,NAGOYA_01,C9468,P004,1,11913.28,JP
T000209,2024-01-09 16:00:00,TOKYO_02,C1060,P001,2,12619.84,JP
T000210,2024-01-09 17:00:00,TOKYO_01,C4927,P003,1,8405.27,JP
T000211,2024-01-09 18:00:00,OSAKA_01,C7296,P001,3,8539.6,US
T000212,2024-01-09 19:00:00,OSAKA_01,C3591,P001,1,9663.03,JP
T000213,2024-01-09 20:00:00,TOKYO_01,C9758,P002,3,6867.18,US
T000214,2024-01-09 21:00:00,OSAKA_01,C7121,P004,1,10362.89,US
T000215,2024-01-09 22:00:00,OSAKA_01,C2200,P001,4,2072.98,US
T000216,2024-01-09 23:00:00,TOKYO_01,C3854,P005,1,14438.55,IN
T000217,2024-01-10 00:00:00,NAGOYA_01,C8024,P005,2,11377.24,JP
T000218,2024-01-10 01:00:00,TOKYO_01,C7972,P001,3,9652.03,AU
T000219,2024-01-10 02:00:00,NAGOYA_01,C1136,P002,4,5086.67,UK
T000220,2024-01-10 03:00:00,OSAKA_01,C2029,P002,3,2833.85,AU
T000221,2024-01-10 04:00:00,OSAKA_01,C3594,P003,3,6435.47,AU
T000222,2024-01-10 05:00:00,OSAKA_01,C8206,P004,2,10092.86,US
T000223,2024-01-10 06:00:00,TOKYO_02,C1661,P002,1,9688.79,JP
T000224,2024-01-10 07:00:00,NAGOYA_01,C3472,P003,2,6048.3,US
T000225,2024-01-10 08:00:00,TOKYO_02,C1086,P005,1,9392.65,UK
T000226,2024-01-10 09:00:00,TOKYO_02,C7219,P005,4,12299.35,JP
T000227,2024-01-10 10:00:00,TOKYO_01,C9143,P005,2,881.13,UK
T000228,2024-01-10 11:00:00,TOKYO_02,C7968,P001,2,7034.01,JP
T000229,2024-01-10 12:00:00,TOKYO_01,C3773,P004,3,11499.05,JP
T000230,2024-01-10 13:00:00,TOKYO_01,C2700,P003,2,8419.09,UK
T000231,2024-01-10 14:00:00,TOKYO_02,C3700,P004,1,9946.4,IN
T000232,2024-01-10 15:00:00,NAGOYA_01,C7815,P001,2,7991.81,UK
T000233,2024-01-10 16:00:00,NAGOYA_01,C2647,P003,2,14882.18,UK
T000234,2024-01-10 17:00:00,NAGOYA_01,C7038,P003,4,1292.01,JP
T000235,2024-01-10 18:00:00,NAGOYA_01,C6164,P002,1,7620.15,US
T000236,2024-01-10 19:00:00,NAGOYA_01,C6520,P004,3,1825.54,JP
T000237,2024-01-10 20:00:00,TOKYO_02,C4687,P004,1,2816.89,JP
T000238,2024-01-10 21:00:00,TOKYO_02,C1596,P002,4,6054.06,JP
T000239,2024-01-10 22:00:00,OSAKA_01,C5545,P005,1,2755.33,US
T000240,2024-01-10 23:00:00,NAGOYA_01,C9676,P001,1,14473.46,JP
T000241,2024-01-11 00:00:00,TOKYO_02,C9837,P004,2,14228.45,IN
T000242,2024-01-11 01:00:00,OSAKA_01,C5757,P002,2,5373.59,US
T000243,2024-01-11 02:00:00,NAGOYA_01,C5384,P003,1,9776.34,JP
T000244,2024-01-11 03:00:00,TOKYO_01,C9912,P002,1,8239.42,AU
T000245,2024-01-11 04:00:00,OSAKA_01,C5733,P005,3,12326.01,JP
T000246,2024-01-11 05:00:00,TOKYO_02,C8081,P001,4,9597.96,JP
T000247,2024-01-11 06:00:00,TOKYO_01,C9690,P005,2,503.66,IN
T000248,2024-01-11 07:00:00,TOKYO_01,C8117,P003,2,11566.03,JP
T000249,2024-01-11 08:00:00,TOKYO_01,C5729,P003,2,11329.3,UK
T000250,2024-01-11 09:00:00,OSAKA_01,C2673,P003,2,7890.98,US
T000251,2024-01-11 10:00:00,TOKYO_02,C9306,P003,1,13592.33,AU
T000252,2024-01-11 11:00:00,TOKYO_01,C8178,P002,1,13672.47,IN
T000253,2024-01-11 12:00:00,NAGOYA_01,C3294,P003,3,8096.72,JP
T000254,2024-01-11 13:00:00,TOKYO_01,C4630,P003,2,9315.83,JP
T000255,2024-01-11 14:00:00,TOKYO_01,C1146,P002,2,14949.57,JP
T000256,2024-01-11 15:00:00,OSAKA_01,C4453,P003,1,4832.89,JP
T000257,2024-01-11 16:00:00,OSAKA_01,C5507,P005,3,5206.95,JP
T000258,2024-01-11 17:00:00,TOKYO_02,C6783,P005,1,3150.22,KR
T000259,2024-01-11 18:00:00,NAGOYA_01,C8751,P004,2,13490.07,JP
T000260,2024-01-11 19:00:00,OSAKA_01,C6628,P005,2,11295.08,US
T000261,2024-01-11 20:00:00,TOKYO_01,C9328,P001,4,2031.82,JP
T000262,2024-01-11 21:00:00,TOKYO_02,C4360,P001,4,14735.63,JP
T000263,2024-01-11 22:00:00,TOKYO_01,C4005,P001,4,11098.94,JP
T000264,2024-01-11 23:00:00,TOKYO_01,C4552,P002,3,12832.57,US
T000265,2024-01-12 00:00:00,OSAKA_01,C1018,P005,1,1198.19,JP
T000266,2024-01-12 01:00:00,TOKYO_02,C3242,P001,2,7821.93,JP
T000267,2024-01-12 02:00:00,NAGOYA_01,C7318,P004,2,10629.68,AU
T000268,2024-01-12 03:00:00,NAGOYA_01,C6097,P002,3,8372.73,IN
T000269,2024-01-12 04:00:00,OSAKA_01,C9640,P004,2,10166.39,JP
T000270,2024-01-12 05:00:00,OSAKA_01,C2948,P005,2,12359.17,IN
T000271,2024-01-12 06:00:00,TOKYO_02,C6618,P003,1,5927.89,AU
T000272,2024-01-12 07:00:00,NAGOYA_01,C5236,P004,4,12805.7,US
T000273,2024-01-12 08:00:00,NAGOYA_01,C7901,P003,4,2862.28,JP
T000274,2024-01-12 09:00:00,NAGOYA_01,C2920,P002,3,4427.85,JP
T000275,2024-01-12 10:00:00,TOKYO_01,C5188,P004,4,1128.51,JP
T000276,2024-01-12 11:00:00,NAGOYA_01,C1238,P004,4,5784.19,KR
T000277,2024-01-12 12:00:00,TOKYO_01,C1204,P002,3,6008.69,JP
T000278,2024-01-12 13:00:00,TOKYO_02,C6552,P002,3,12176.42,KR
T000279,2024-01-12 14:00:00,TOKYO_01,C5927,P001,4,9970.39,JP
T000280,2024-01-12 15:00:00,TOKYO_02,C5390,P005,1,6832.48,JP
T000281,2024-01-12 16:00:00,NAGOYA_01,C3687,P004,3,9955.65,JP
T000282,2024-01-12 17:00:00,NAGOYA_01,C5951,P004,2,1265.36,JP
T000283,2024-01-12 18:00:00,TOKYO_02,C7160,P002,3,3113.94,UK
T000284,2024-01-12 19:00:00,OSAKA_01,C6388,P002,2,9590.74,IN
T000285,2024-01-12 20:00:00,TOKYO_02,C6126,P005,3,9799.82,US
T000286,2024-01-12 21:00:00,OSAKA_01,C1816,P002,3,11724.95,AU
T000287,2024-01-12 22:00:00,TOKYO_01,C1192,P003,4,6343.5,AU
T000288,2024-01-12 23:00:00,TOKYO_01,C2776,P003,4,10977.03,KR
T000289,2024-01-13 00:00:00,TOKYO_01,C4645,P003,4,10417.71,JP
T000290,2024-01-13 01:00:00,NAGOYA_01,C7314,P003,1,14469.2,IN
T000291,2024-01-13 02:00:00,TOKYO_01,C9442,P005,4,3619.39,AU
T000292,2024-01-13 03:00:00,OSAKA_01,C2788,P004,4,8499.35,KR
T000293,2024-01-13 04:00:00,TOKYO_01,C8374,P003,3,9225.58,IN
T000294,2024-01-13 05:00:00,TOKYO_02,C4700,P002,3,14980.39,KR
T000295,2024-01-13 06:00:00,TOKYO_02,C4893,P003,1,3417.17,AU
T000296,2024-01-13 07:00:00,NAGOYA_01,C7811,P005,2,8086.66,JP
T000297,2024-01-13 08:00:00,TOKYO_02,C3679,P002,3,5519.69,JP
T000298,2024-01-13 09:00:00,OSAKA_01,C4904,P003,3,8125.45,US
T000299,2024-01-13 10:00:00,TOKYO_01,C8260,P004,2,3865.86,IN
T000300,2024-01-13 11:00:00,NAGOYA_01,C1504,P002,1,1190.38,JP
T000301,2024-01-13 12:00:00,TOKYO_01,C7773,P002,3,8802.2,JP
T000302,2024-01-13 13:00:00,TOKYO_01,C4816,P004,4,5369.89,JP
T000303,2024-01-13 14:00:00,OSAKA_01,C1717,P002,1,3138.15,UK
T000304,2024-01-13 15:00:00,TOKYO_02,C5434,P003,2,5197.07,JP
T000305,2024-01-13 16:00:00,TOKYO_02,C1658,P002,2,1214.56,US
T000306,2024-01-13 17:00:00,TOKYO_01,C6057,P003,4,14281.41,JP
T000307,2024-01-13 18:00:00,NAGOYA_01,C5008,P004,4,8926.64,JP
T000308,2024-01-13 19:00:00,TOKYO_02,C5994,P001,4,12314.15,UK
T000309,2024-01-13 20:00:00,NAGOYA_01,C5234,P004,1,6635.21,JP
T000310,2024-01-13 21:00:00,TOKYO_02,C4764,P003,2,13598.06,JP
T000311,2024-01-13 22:00:00,NAGOYA_01,C5637,P005,4,7508.11,JP
T000312,2024-01-13 23:00:00,OSAKA_01,C3104,P004,4,8822.21,JP
T000313,2024-01-14 00:00:00,NAGOYA_01,C7801,P005,2,7631.01,AU
T000314,2024-01-14 01:00:00,OSAKA_01,C9575,P005,3,11132.54,JP
T000315,2024-01-14 02:00:00,OSAKA_01,C3607,P003,1,8716.51,US
T000316,2024-01-14 03:00:00,NAGOYA_01,C9385,P003,3,4438.18,JP
T000317,2024-01-14 04:00:00,OSAKA_01,C4719,P001,4,2610.32,UK
T000318,2024-01-14 05:00:00,TOKYO_01,C3581,P002,1,9288.8,IN
T000319,2024-01-14 06:00:00,OSAKA_01,C3565,P004,3,7593.11,KR
T000320,2024-01-14 07:00:00,TOKYO_02,C3763,P003,2,1891.65,UK
T000321,2024-01-14 08:00:00,NAGOYA_01,C7328,P004,4,6236.45,JP
T000322,2024-01-14 09:00:00,TOKYO_01,C6991,P005,1,7964.26,JP
T000323,2024-01-14 10:00:00,NAGOYA_01,C4406,P002,1,12489.95,US
T000324,2024-01-14 11:00:00,TOKYO_02,C9923,P001,1,1603.47,JP
T000325,2024-01-14 12:00:00,TOKYO_02,C5780,P004,1,5553.18,JP
T000326,2024-01-14 13:00:00,TOKYO_02,C5177,P002,4,12428.51,JP
T000327,2024-01-14 14:00:00,OSAKA_01,C7476,P001,4,9902.15,JP
T000328,2024-01-14 15:00:00,OSAKA_01,C3604,P004,2,4704.4,AU
T000329,2024-01-14 16:00:00,NAGOYA_01,C9181,P002,2,12757.36,JP
T000330,2024-01-14 17:00:00,NAGOYA_01,C3382,P003,2,7652.76,JP
